,int_list,area,ecc,patch,time,tfmt,cx,cy,geom,angle
0,0,1467,0.814036283609924,"Ellipse(xy=(21.44755522614159, 150.7636970309946), width=500, height=125, angle=163.21480619396897)",18000.0,2021-06-12 05:00:00,21447.555226141587,150763.6970309946,"LINEARRING (39.49658021504492 210.6008317965392, -23.97939432471587 229.7474613126777, -86.76586191693747 241.8076540864648, -135.0348318483589 244.1252926443204, -183.3038017797805 246.4429312021761, -213.1143264570021 238.8287906215481, -217.9009838360367 222.9597969866079, -222.6876412150714 207.0908033516677, -202.0596219228344 184.2625897029411, -160.5600077752769 159.5028051253407, -119.0603936277195 134.7430205477403, -60.07744430252252 110.0731917815885, 3.398530237238266 90.92656226545002, 66.87450477699905 71.77993274931151, 129.6609723692206 59.71973997552442, 177.9299423006421 57.40210141766875, 226.1989122320637 55.08446285981307, 256.0094369092852 62.6986034404411, 260.7960942883199 78.5675970753813, 265.5827516673545 94.4365907103215, 244.9547323751176 117.2648043590481, 203.4551182275601 142.0245889366485, 161.9555040800026 166.7843735142489, 102.9725547548057 191.4542022804007, 39.49658021504492 210.6008317965392)",163.21480619396897
1,1,1451,0.8128880441070936,"Ellipse(xy=(21.44755522614159, 150.7636970309946), width=500, height=125, angle=163.10123160613577)",18060.0,2021-06-12 05:01:00,21447.555226141587,150763.6970309946,"LINEARRING (39.6151568677721 210.5649365715846, -23.82273957225608 229.8373536712866, -86.58517750299718 242.0219811764616, -134.8494584652148 244.435296308278, -183.1137394274324 246.8486114400944, -212.9392986612929 239.2935777075237, -217.7574029362184 223.4341035975166, -222.5755072111439 207.5746294875096, -201.9927796542905 184.7055708135468, -160.5423271026004 159.8635723032534, -119.0918745509102 135.0215737929601, -60.15794285551709 110.2348745901066, 3.27995358451108 90.9624574904046, 66.71785002453926 71.69004039070259, 129.4802879552803 59.50541288552756, 177.744568917498 57.09209775371116, 226.0088498797155 54.67878262189477, 255.8344091135761 62.23381635446552, 260.6525133885016 78.09329046447256, 265.4706176634271 93.9527645744796, 244.8878901065737 116.8218232484424, 203.4374375548835 141.6638217587357, 161.9869850031934 166.5058202690291, 103.0530533078003 191.2925194718826, 39.6151568677721 210.5649365715846)",163.10123160613577
2,2,1442,0.8086575975666052,"Ellipse(xy=(21.44755522614159, 150.7636970309946), width=500, height=125, angle=162.95991087543408)",18120.0,2021-06-12 05:02:00,21447.555226141587,150763.6970309946,"LINEARRING (39.76260193334517 210.5199441028527, -23.62756593794562 229.9487727564334, -86.35975945531708 242.2881673505397, -134.617941140525 244.8205194514123, -182.8761228257329 247.3528715522849, -212.7202258978957 239.8714258276316, -217.5774330612909 224.0238838598089, -222.434640224686 208.1763418919862, -201.9083820288277 185.2565852879172, -160.519328589349 160.3124244058729, -119.1302751498703 135.3682635238287, -60.25765935235277 110.4362786127172, 3.132508518938007 91.00744995913648, 66.5226763902288 71.57862130555574, 129.2548699076003 59.23922671144953, 177.5130515928082 56.70687461057693, 225.7712332780161 54.17452250970433, 255.6153363501789 61.65596823435757, 260.472543513574 77.50351020218027, 265.3297506769692 93.35105217000296, 244.8034924811109 116.270808774072, 203.4144390416322 141.2149696561162, 162.0253856021535 166.1591305381605, 103.152769804636 191.091115449272, 39.76260193334517 210.5199441028527)",162.95991087543408
3,3,1402,0.7978477274634976,"Ellipse(xy=(21.44755522614159, 150.7636970309946), width=500, height=125, angle=162.24928130331318)",18180.0,2021-06-12 05:03:00,21447.555226141587,150763.6970309946,"LINEARRING (40.50232056978959 210.2881954975799, -22.64200550734504 230.5017268532119, -85.21633459932922 243.6182088944477, -133.4393970352492 246.748888697093, -181.6624594711693 249.8795684997382, -211.5970558012914 242.7688399248702, -216.6504386401994 226.9827584055866, -221.7038214791075 211.196676886303, -201.4634045013459 188.024106056135, -160.3869046120731 162.5685356721916, -119.3104047228002 137.1129652882481, -60.75153619464103 111.4527299200414, 2.392789882493588 91.23919856440934, 65.53711595962821 71.02566720877728, 128.1114450516124 57.90918516754147, 176.3345074875324 54.77850536489623, 224.5575699234525 51.647825562251, 254.4921662535746 58.75855413711894, 259.5455490924826 74.54463565640259, 264.5989319313907 90.33071717568625, 244.3585149536291 113.5032880058542, 203.2820150643563 138.9588583897976, 162.2055151750834 164.4144287737411, 103.6466466469242 190.0746641419478, 40.50232056978959 210.2881954975799)",162.24928130331318
4,4,1435,0.80430654375415,"Ellipse(xy=(21.44755522614159, 145.19772249133047), width=500, height=125, angle=162.33927223056625)",18240.0,2021-06-12 05:04:00,21447.555226141587,145197.72249133047,"LINEARRING (40.40880566721574 204.7520756631253, -22.76719065140352 224.8664052505222, -85.36204379733775 237.8845895359334, -133.5899639150172 240.9395245349249, -181.8178840326966 243.9944595339165, -211.7412750641884 236.8367233352819, -216.7698574610376 221.0427242556271, -221.7984398578868 205.2487251759723, -201.5216521408817 182.1079732825632, -160.4052214483371 156.7169505810156, -119.2887907557924 131.325927879468, -60.68969153355184 105.7576989069326, 2.486304785067432 85.64336931953567, 65.6623011036867 65.52903973213873, 128.2571542496209 52.51085544672755, 176.4850743673004 49.45592044773598, 224.7129944849798 46.40098544874439, 254.6363855164716 53.55872164737903, 259.6649679133208 69.35272072703384, 264.6935503101701 85.14671980668865, 244.4167625931649 108.2874717000977, 203.3003319006203 133.6784944016453, 162.1839012080756 159.0695171031929, 103.584801985835 184.6377460757283, 40.40880566721574 204.7520756631253)",162.33927223056625
5,5,1467,0.8056201809868662,"Ellipse(xy=(27.01352976580523, 145.19772249133047), width=500, height=125, angle=162.10894880155735)",18300.0,2021-06-12 05:05:00,27013.52976580523,145197.72249133047,"LINEARRING (46.21402903325554 204.6753723093977, -16.88059941660799 225.0435000185, -79.42261512245103 238.3132036286067, -127.6378650615902 241.5619849434505, -175.8531150007293 244.8107662582942, -205.8050375791884 237.7733766735976, -210.8970695064639 221.9997195611317, -215.9891014337395 206.2260624486658, -195.8055008575023 183.0039870441779, -154.7914715299531 157.4478859126621, -113.7774422024038 131.8917847811462, -55.28159795150862 106.0882003823654, 7.813030498354923 85.72007267326318, 70.90765894821845 65.35194496416096, 133.4496746540615 52.08224135405419, 181.6649245932006 48.83346003921045, 229.8801745323397 45.58467872436671, 259.8320971107988 52.62206830906335, 264.9241290380744 68.39572542152924, 270.01616096535 84.16938253399512, 249.8325603891127 107.391457938483, 208.8185310615635 132.9475590699989, 167.8045017340143 158.5036602015147, 109.3086574831191 184.3072446002955, 46.21402903325554 204.6753723093977)",162.10894880155735
6,6,1441,0.8046238445089635,"Ellipse(xy=(27.01352976580523, 145.19772249133047), width=500, height=125, angle=162.19803240872525)",18360.0,2021-06-12 05:06:00,27013.52976580523,145197.72249133047,"LINEARRING (46.12152987874155 204.7051533860013, -17.00469070646838 224.9751568450056, -79.56726257425669 238.1476039881077, -127.7875054458706 241.3214162270244, -176.0077483174846 244.4952284659412, -205.9486929481271 237.4112780893782, -211.0161938128781 221.6297229430758, -216.0836946776292 205.8481677967733, -195.8640127767574 182.6575019559578, -154.8102983554118 157.1652003938012, -113.7565839340662 131.6728988316446, -55.22069093234101 105.9602950556639, 7.905529652868911 85.69029159665962, 71.03175023807884 65.42028813765538, 133.5943221058671 52.24784099455323, 181.8145649774811 49.0740287556365, 230.034807849095 45.90021651671975, 259.9757524797375 52.9841668932827, 265.0432533444886 68.76572203958519, 270.1107542092396 84.54727718588767, 249.8910723083679 107.7379430267031, 208.8373578870223 133.2302445888597, 167.7836434656767 158.7225461510164, 109.2477504639515 184.435149926997, 46.12152987874155 204.7051533860013)",162.19803240872525
7,7,1445,0.8068755826316659,"Ellipse(xy=(27.01352976580523, 145.19772249133047), width=500, height=125, angle=162.27270074189477)",18420.0,2021-06-12 05:07:00,27013.52976580523,145197.72249133047,"LINEARRING (46.04396309912234 204.7300045502787, -17.10861990930751 224.9177242076348, -79.68830508754851 238.0086281276185, -127.912643148858 241.1195966703512, -176.1369812101674 244.2305652130839, -206.0686685556488 237.1076015767064, -211.1155984699878 221.3194558245989, -216.1625283843268 205.5313100724914, -195.9126413947768 182.3670143736523, -154.825740066672 156.9282359835661, -113.7388387385673 131.4894575934798, -55.16948657594173 105.8531600897383, 7.983096432488125 85.66544043238221, 71.13567944091798 65.47772077502609, 133.715364619159 52.38681685504245, 181.9397026804684 49.27584831230975, 230.1640407417779 46.16487976957704, 260.0957280872593 53.28784340595458, 265.1426580015983 69.07598915806204, 270.1895879159373 84.8641349101695, 249.9397009263872 108.0284306090086, 208.8527995982825 133.4672089990949, 167.7658982701778 158.9059873891811, 109.1965461075522 184.5422848929226, 46.04396309912234 204.7300045502787)",162.27270074189477
8,8,1451,0.8038777423461478,"Ellipse(xy=(27.01352976580523, 145.19772249133047), width=500, height=125, angle=162.32613532905918)",18480.0,2021-06-12 05:08:00,27013.52976580523,145197.72249133047,"LINEARRING (45.98843446057033 204.7477266208398, -17.18294834006441 224.8765408098649, -79.77481500297387 237.9090766376523, -128.0020334108098 240.9750693591409, -176.2292518186458 244.0410620806294, -206.154283204976 236.8901869705495, -211.1864867522322 221.0973412703909, -216.2186902994885 205.3044955702322, -195.9472088775677 182.1590951789335, -154.8366009748835 156.7586458798149, -113.7259930721994 131.3581965806963, -55.1327577295946 105.7765325508461, 8.038625071040133 85.64771836182111, 71.21000787167488 65.51890417279607, 133.8018745345843 52.48636834500863, 182.0290929424203 49.42037562352006, 230.2563113502563 46.35438290203147, 260.1813427365864 53.5052580121114, 265.2135462838427 69.29810371227008, 270.2457498310989 85.09094941242876, 249.9742684091782 108.2363498037274, 208.863660506494 133.636799102846, 167.7530526038098 159.0372484019646, 109.1598172612051 184.6189124318148, 45.98843446057033 204.7477266208398)",162.32613532905918
9,9,1460,0.809873632485919,"Ellipse(xy=(27.01352976580523, 145.19772249133047), width=500, height=125, angle=162.14886363410844)",18540.0,2021-06-12 05:09:00,27013.52976580523,145197.72249133047,"LINEARRING (46.1725895553342 204.688733812212, -16.9362129423973 225.0129020092857, -79.48745774718414 238.2390328048596, -127.7049592344243 241.4542244093092, -175.9224607216645 244.6694160137589, -205.8694734684524 237.6111622738792, -210.9505155177209 221.8339616494463, -216.0315575669893 206.0567610250135, -195.83178434127 182.8487520638312, -154.7999614310932 157.3212293600272, -113.7681385209164 131.7937066562233, -55.25433252145525 106.0308793675227, 7.85446997627626 85.70671117044894, 70.96327247400777 65.38254297337522, 133.5145172787946 52.15641217780137, 181.7320187660348 48.94122057335169, 229.949520253275 45.72602896890201, 259.8965330000629 52.7842827087817, 264.9775750493313 68.56148333321458, 270.0586170985998 84.33868395764746, 249.8588438728805 107.5466929188298, 208.8270209627037 133.0742156226337, 167.7951980525269 158.6017383264376, 109.2813920530657 184.3645656151383, 46.1725895553342 204.688733812212)",162.14886363410844
