,int_list,area,ecc,patch,time,tfmt,cx,cy,geom,angle
0,0,772,0.9095081602079179,"Ellipse(xy=(32.57950430546887, 145.1977224913314), width=500, height=125, angle=162.87642964356223)",18000.0,2021-06-12 05:00:00,32579.504305468872,145197.7224913314,"LINEARRING (50.98159772935476 204.9272207113782, -12.38019462824884 224.4483896013948, -75.09434279063264 236.8791732740589, -123.3487835595328 239.4818359118287, -171.6032243284329 242.0844985495984, -201.4581963522143 234.6465442762758, -206.3384885747184 218.806096186875, -211.2187807972226 202.9656480974741, -190.7259389751398 180.0160086151663, -149.3732736556489 155.0115694552988, -108.0206083361581 130.0071302954313, -49.18438147602062 104.9893931613012, 14.17741088158299 85.46822427128458, 77.53920323918659 65.94705538126797, 140.2533514015704 53.51627170860388, 188.5077921704705 50.91360907083414, 236.7622329393706 48.3109464330644, 266.617204963152 55.74890070638696, 271.4974971856561 71.58934879578786, 276.3777894081603 87.42979688518875, 255.8849475860775 110.3794363674965, 214.5322822665867 135.383875527364, 173.1796169470959 160.3883146872315, 114.3433900869584 185.4060518213616, 50.98159772935476 204.9272207113782)",162.87642964356223
1,1,749,0.9067995514124091,"Ellipse(xy=(32.57950430546887, 134.06577341200273), width=500, height=125, angle=162.76849664676013)",18600.0,2021-06-12 05:10:00,32579.504305468872,134065.77341200272,"LINEARRING (51.09408261395307 193.7605000640195, -12.23082363311686 213.4009943144306, -74.9214435957805 225.9498959056806, -123.1708958886663 228.6434549196753, -171.4203481815521 231.33701393367, -201.2892787399956 223.955313207707, -206.1994023025984 208.1240866459395, -211.1095258652011 192.292860084172, -190.6599525918686 169.3046572128859, -149.3544636341433 144.2223628862384, -108.0489746764181 119.140068559591, -49.25998025008525 94.01154101039698, 14.06492599698468 74.37104675998592, 77.3898322440546 54.73055250957485, 140.0804522067182 42.18165091832485, 188.329904499604 39.48809190433016, 236.5793567924898 36.79453289033547, 266.4482873509334 44.17623361629846, 271.3584109135361 60.00746017806594, 276.2685344761389 75.83868673983342, 255.8189612028063 98.82688961111957, 214.5134722450811 123.909183937767, 173.2079832873559 148.9914782644145, 114.418988861023 174.1200058136085, 51.09408261395307 193.7605000640195)",162.76849664676013
2,2,772,0.8949187804880948,"Ellipse(xy=(38.145478845132516, 128.49979887234), width=500, height=125, angle=162.88534357808885)",19200.0,2021-06-12 05:20:00,38145.478845132515,128499.79887233999,"LINEARRING (56.53827947993516 188.2321593213328, -6.82654916562602 207.7434703054593, -69.5426305193554 220.1644969169112, -117.7974756200342 222.7596522176267, -166.0523207207129 225.3548075183421, -195.9061352048072 217.9122085729408, -200.7839629508388 202.0710014115506, -205.6617906968705 186.2297942501603, -185.1653786751176 163.2833432708182, -143.8088237277966 138.2853379581028, -102.4522687804755 113.2873326453874, -43.6121504352313 88.27874940747367, 19.75267821032988 68.76743842334716, 83.11750685589105 49.25612743922065, 145.8335882096204 36.83510082776874, 194.0884333102992 34.23994552705329, 242.3432784109779 31.64479022633785, 272.1970928950722 39.08738917173915, 277.0749206411039 54.92859633312943, 281.9527483871355 70.76980349451972, 261.4563363653826 93.71625447386182, 220.0997814180616 118.7142597865772, 178.7432264707405 143.7122650992926, 119.9031081254963 168.7208483372063, 56.53827947993516 188.2321593213328)",162.88534357808885
3,3,813,0.8850564383106729,"Ellipse(xy=(38.145478845132516, 122.93382433267683), width=500, height=125, angle=163.0792722380625)",19800.0,2021-06-12 05:30:00,38145.478845132515,122933.82433267683,"LINEARRING (56.33599877076337 182.7280965068176, -7.094506600540129 202.0248256063739, -69.85227000154858 214.2335067535348, -118.115622483941 216.6653196340162, -166.3789749663335 219.0971325144977, -196.2074275765415 211.5535303780262, -201.0316098514306 195.6959040352003, -205.8557921263197 179.8382776923744, -185.2818309512706 156.9613320946688, -143.8409024693862 132.1034489731182, -102.3999739875018 107.2455658515675, -43.47554645180185 82.43628125809235, 19.95495891950166 63.13955215853606, 83.38546429080516 43.84282305897976, 146.1432276918136 31.63414191181886, 194.4065801742061 29.20232903133743, 242.6699326565985 26.770516150856, 272.4983852668066 34.31411828732752, 277.3225675416957 50.1717446301534, 282.1467498165847 66.02937097297928, 261.5727886415357 88.90631657068485, 220.1318601596512 113.7641996922355, 178.6909316777668 138.6220828137861, 119.7665041420669 163.4313674072613, 56.33599877076337 182.7280965068176)",163.0792722380625
4,4,810,0.8830168835517267,"Ellipse(xy=(43.71145338479616, 111.80187525335047), width=500, height=125, angle=162.66056803439773)",20400.0,2021-06-12 05:40:00,43711.45338479616,111801.87525335047,"LINEARRING (62.33844631079674 171.461619927081, -0.9493506199306267 191.2213649976948, -63.61622088516501 203.888335180429, -111.8605136947266 206.6727773203588, -160.1048065042882 209.4572194602886, -189.9875890424727 202.1317961900346, -194.9275253101262 186.3098469573528, -199.8674615777796 170.4878977246709, -179.4612276594917 147.46121460302, -138.2030597169043 122.301157275053, -96.94489177431694 97.14109994708599, -38.20333647193178 71.90187565023359, 25.08446045879558 52.1421305796199, 88.37225738952294 32.3823855090062, 151.0391276547573 19.71541532627191, 199.2834204643189 16.93097318634211, 247.5277132738805 14.14653104641235, 277.4104958120651 21.47195431666631, 282.3504320797185 37.29390354934816, 287.2903683473719 53.11585278203, 266.884134429084 76.14253590368091, 225.6259664864967 101.3025932316479, 184.3677985439093 126.462650559615, 125.6262432415241 151.7018748564674, 62.33844631079674 171.461619927081)",162.66056803439773
5,5,848,0.8761570234001318,"Ellipse(xy=(49.27742792445794, 100.66992617402413), width=500, height=125, angle=163.30133930159144)",21000.0,2021-06-12 05:50:00,49277.42792445794,100669.92617402412,"LINEARRING (67.23606107804073 160.534251905256, 3.731242024710824 179.5849926416278, -59.07336831369676 191.5503460710416, -107.3457834946598 193.7950819846983, -155.6181986756229 196.039817898355, -185.4171898163768 188.3806635516877, -190.1798750004698 172.5044587883553, -194.9425601845627 156.6282540250228, -174.2800872624451 133.8312206422433, -132.7431260621397 109.1341406332695, -91.20616486183427 84.43706062429567, -32.18602428245475 59.85634117916393, 31.31879477087515 40.8056004427922, 94.82361382420505 21.75485970642048, 157.6282241626126 9.789506277006623, 205.9006393435757 7.54477036334994, 254.1730545245388 5.300034449693229, 283.9720456652927 12.95918879636049, 288.7347308493856 28.83539355969297, 293.4974160334786 44.71159832302545, 272.834943111361 67.50863170580496, 231.2979819110556 92.20571171477877, 189.7610207107501 116.9027917237526, 130.7408801313706 141.4835111688843, 67.23606107804073 160.534251905256)",163.30133930159144
6,6,843,0.8626415277026748,"Ellipse(xy=(49.27742792445794, 95.10395163436048), width=500, height=125, angle=166.3892853545138)",21600.0,2021-06-12 06:00:00,49277.42792445794,95103.95163436048,"LINEARRING (63.98516988540522 155.8487647990266, -0.4536811553558167 171.4509198471998, -63.81165928988159 180.0156947511276, -112.1349052415953 179.6567972511168, -160.4581511933091 179.297899751106, -189.8012859721631 170.0446322383399, -193.7018247342064 153.9349194781496, -197.6023634962497 137.8252067179594, -175.741844528521 116.1743354012114, -132.9347933946509 93.75065862982623, -90.12774226078069 71.32698185844106, -29.86916507725039 49.96129351786759, 34.56968596351066 34.35913846969439, 99.00853700427169 18.7569834215212, 162.3665151387975 10.19220851759341, 210.6897610905112 10.5511060176042, 259.013007042225 10.910003517615, 288.356141821079 20.1632710303811, 292.2566805831223 36.27298379057135, 296.1572193451656 52.38269655076161, 274.2967003774369 74.03356786750955, 231.4896492435668 96.45724463889474, 188.6825981096966 118.8809214102799, 128.4240209261663 140.2466097508534, 63.98516988540522 155.8487647990266)",166.3892853545138
7,7,845,0.8738513458449659,"Ellipse(xy=(54.84340246412158, 83.9720025550332), width=500, height=125, angle=170.7269422219387)",22200.0,2021-06-12 06:10:00,54843.40246412158,83972.0025550332,"LINEARRING (64.91463706511963 145.6552274513667, -0.5196927768996815 156.3389179994145, -64.34397983085638 160.0871368436299, -112.5016656932013 156.0743822898308, -160.6593515555463 152.0616277360317, -189.2185744842005 140.6155234195303, -191.8894971212125 124.2569409590254, -194.5604197582244 107.8983584985206, -171.1249731008073 87.96290369357168, -126.744542255774 68.84112907052618, -82.36411141074065 49.71935444748068, -20.6621619788958 32.97246820674747, 44.77216786312352 22.28877765869968, 110.2064977051429 11.60508711065188, 174.0307847590996 7.856868266436535, 222.1884706214445 11.86962282023561, 270.3461564837894 15.88237737403468, 298.9053794124437 27.32848169053614, 301.5763020494556 43.68706415104096, 304.2472246864676 60.04564661154579, 280.8117780290505 79.98110141649472, 236.4313471840171 99.10287603954022, 192.0509163389838 118.2246506625857, 130.348966907139 134.9715369033189, 64.91463706511963 145.6552274513667)",170.7269422219387
8,8,888,0.8932266952272138,"Ellipse(xy=(49.27742792445794, 72.84005347570684), width=500, height=125, angle=0.6484170448507598)",22800.0,2021-06-12 06:20:00,49277.42792445794,72840.05347570684,"LINEARRING (49.98472609880925 10.34405576951321, 116.281255415911 11.09436644336245, 179.7968503522498 18.39901991446782, 226.5429383601364 30.64925104225712, 273.2890263680229 42.89948217004642, 299.4489964176947 59.09511384383666, 299.2614187492325 75.6692461731121, 299.0738410807701 92.24337850238754, 272.5540305799513 107.8428069955556, 225.542667689327 119.031938592394, 178.5313047987027 130.2210701892324, 114.8666590672084 136.0863618557497, 48.57012975010662 135.3360511819005, -17.72639956699513 134.5857405080512, -81.24199450333394 127.2810870369458, -127.9880825112205 115.0308559091566, -174.734170519107 102.7806247813673, -200.8941405687789 86.58499310757702, -200.7065629003166 70.01086077830158, -200.5189852318543 53.43672844902614, -173.9991747310354 37.83729995585809, -126.9878118404111 26.64816835901968, -79.97644894978684 15.45903676218128, -16.31180321829251 9.593745095663976, 49.98472609880925 10.34405576951321)",0.6484170448507598
9,9,897,0.902757248905414,"Ellipse(xy=(49.27742792445794, 61.70810439637909), width=500, height=125, angle=1.2388489836329981)",23400.0,2021-06-12 06:30:00,49277.42792445794,61708.104396379094,"LINEARRING (50.62869723613585 -0.7772864661842789, 116.9139746819898 0.6561567753831099, 180.3509242183412 8.61493783609842, 226.9682940339966 21.3462275663555, 273.5856638496521 34.07751729661259, 299.5773521851033 50.54186228162725, 299.2189913747114 67.11318164309073, 298.8606305643196 83.68450100455421, 272.1814791809378 99.00981991723606, 225.0573106470032 109.7139147743765, 177.9331421130686 120.4180096315169, 114.211436058634 125.6269385005099, 47.92615861278003 124.1934952589425, -18.35911883307389 122.7600520173751, -81.79606836942533 114.8012709566598, -128.4134381850808 102.0699812264027, -175.0308080007362 89.3386914961456, -201.0224963361874 72.87434651113094, -200.6641355257955 56.30302714966746, -200.3057747154037 39.73170778820398, -173.6266233320219 24.40638887552212, -126.5024547980873 13.70229401838169, -79.37828626415269 2.99819916124126, -15.65658020971807 -2.210729707751668, 50.62869723613585 -0.7772864661842789)",1.2388489836329981
