,int_list,area,ecc,patch,time,tfmt,cx,cy,geom,angle
0,0,762,0.9176763216976039,"Ellipse(xy=(27.01352976580523, 145.19772249133047), width=500, height=125, angle=163.13018524260676)",18000.0,2021-06-12 05:00:00,27013.52976580523,145197.72249133047,"LINEARRING (45.15090935270121 205.0081351443197, -18.29671803870664 224.2484923136058, -81.06530528994837 236.4014021270312, -129.3307996253236 238.7903272592192, -177.5962939606987 241.1792523914072, -207.41803155383 233.6091476867663, -212.2281208461515 217.7472408389144, -217.0382101384731 201.8853339910624, -196.4439286449692 179.0266794357494, -154.9809278230207 154.2056305142305, -113.5179270010723 129.3845815927116, -54.57147721249858 104.6276670076274, 8.87615017890926 85.38730983834128, 72.32377757031711 66.14695266905515, 135.0923648215588 53.99404285562967, 183.357859156934 51.60511772344171, 231.6233534923092 49.21619259125374, 261.4450910854405 56.78629729589463, 266.255180377762 72.64820414374658, 271.0652696700835 88.51011099159854, 250.4709881765797 111.3687655469115, 209.0079873546312 136.1898144684304, 167.5449865326827 161.0108633899493, 108.598536744109 185.7677779750335, 45.15090935270121 205.0081351443197)",163.13018524260676
1,1,765,0.9153661070019037,"Ellipse(xy=(32.57950430546887, 145.1977224913314), width=500, height=125, angle=162.80375601615395)",18300.0,2021-06-12 05:05:00,32579.504305468872,145197.7224913314,"LINEARRING (51.05734344798486 204.9038315642169, -12.27963741228463 224.5053524518033, -74.97796799851326 237.0156723577842, -123.2290687499879 239.6795385324215, -171.4801695014625 242.3434047070588, -201.3445517641767 234.9433242764627, -206.2449319860733 219.1090790613953, -211.1453122079698 203.274833846328, -190.6815960495661 180.2992198327463, -149.3606794686825 155.2423493250195, -108.0397628877988 130.1854788172927, -49.23531569731659 105.0931343060322, 14.10166516295289 85.49161341844587, 77.43864602322238 65.89009253085955, 140.136976609451 53.37977262487856, 188.3880773609256 50.71590645024129, 236.6391781124003 48.05204027560403, 266.5035603751144 55.45212070620009, 271.403940597011 71.28636592126746, 276.3043208189076 87.12061113633483, 255.8406046605038 110.0962251499165, 214.5196880796202 135.1530956576433, 173.1987714987366 160.2099661653701, 114.3943243082543 185.3023106766306, 51.05734344798486 204.9038315642169)",162.80375601615395
2,2,753,0.9146703789086471,"Ellipse(xy=(32.57950430546887, 139.63174795166728), width=500, height=125, angle=162.85740874319737)",18600.0,2021-06-12 05:10:00,32579.504305468872,139631.7479516673,"LINEARRING (51.00142555477562 199.355133802474, -12.3538827257447 218.8973362955621, -75.06390069390037 231.3489389588177, -123.3174747787663 233.9676208336708, -171.5710488636323 236.586302708524, -201.428488474486 229.1582600190243, -206.314039097758 213.3194329488943, -211.19958972103 197.4806058787642, -190.7143677882794 174.5241645021318, -149.3700056545051 149.5059985726186, -108.0256435207307 124.4878326431053, -49.19772522435821 99.45056459394866, 14.15758305616212 79.90836210086056, 77.51289133668246 60.36615960777246, 140.2229093048381 47.9145569445169, 188.4764833897041 45.29587506966371, 236.7300574745701 42.6771931948105, 266.5874970854237 50.1052358843102, 271.4730477086957 65.94406295444028, 276.3585983319678 81.78289002457036, 255.8733763992171 104.7393314012027, 214.5290142654428 129.757497330716, 173.1846521316685 154.7756632602293, 114.356733835296 179.8129313093859, 51.00142555477562 199.355133802474)",162.85740874319737
3,3,737,0.915510629746475,"Ellipse(xy=(32.57950430546887, 134.06577341200273), width=500, height=125, angle=162.45856233854403)",18900.0,2021-06-12 05:15:00,32579.504305468872,134065.77341200272,"LINEARRING (51.41672127007497 193.6594748998979, -11.80101623018266 213.6422282374424, -74.42283761692369 226.5300615951912, -122.6570135925659 229.4845792675212, -170.8911895682081 232.4390969398512, -200.7996133117256 225.2190756454915, -205.7953016461117 209.4146412704271, -210.7909899804978 193.6102068953627, -190.4660670810407 170.5117215025078, -149.2968613012764 145.2063583913262, -108.1276555215121 119.9009952801445, -49.47545015939485 94.45482526165209, 13.74228734086278 74.47207192410758, 76.9600248411204 54.48931858656307, 139.5818462278614 41.60148522881427, 187.8160222035037 38.64696755648424, 236.0501981791459 35.69244988415423, 265.9586219226633 42.91247117851395, 270.9543102570494 58.71690555357836, 275.9499985914356 74.52133992864276, 255.6250756919785 97.61982532149761, 214.4558699122142 122.9251884326793, 173.2866641324498 148.2305515438609, 114.6344587703326 173.6767215623534, 51.41672127007497 193.6594748998979)",162.45856233854403
4,4,775,0.9042793155468899,"Ellipse(xy=(38.145478845132516, 134.06577341200273), width=500, height=125, angle=162.70352144470104)",19200.0,2021-06-12 05:20:00,38145.478845132515,134065.77341200272,"LINEARRING (56.72774091696765 193.7394655744091, -6.574851682695829 213.4517596002615, -69.25120049147432 226.0717462266542, -117.4975671799916 228.8200198815996, -165.7439338685088 231.5682935365451, -195.6212162980298 224.2204698492591, -200.5492898044929 208.3948216993433, -205.477363310956 192.5691735494274, -185.0538725208575 169.5577950105486, -143.776854221552 144.4286751086475, -102.4998359222464 119.2995552067463, -43.73937582636609 94.10437527544877, 19.56321677329738 74.39208124959637, 82.86580937296085 54.67978722374397, 145.5421581817394 42.05980059735128, 193.7885248702566 39.31152694240583, 242.0348915587738 36.56325328746038, 271.9121739882949 43.91107697474634, 276.8402474947579 59.7367251246622, 281.768321001221 75.56237327457808, 261.3448302111226 98.57375181345682, 220.067811911817 123.702871715358, 178.7907936125114 148.8319916172591, 120.0303335166311 174.0271715485567, 56.72774091696765 193.7394655744091)",162.70352144470104
5,5,782,0.9007961179814986,"Ellipse(xy=(38.145478845132516, 128.49979887234), width=500, height=125, angle=162.46792087825503)",19500.0,2021-06-12 05:25:00,38145.478845132515,128499.79887233999,"LINEARRING (56.97296168234852 188.0965763860138, -6.248038904197841 208.0690036405197, -68.87196451988787 220.9466083452201, -117.1066224351375 223.8932475365998, -165.3412803503872 226.8398867279795, -195.2485243959363 219.6149803678406, -200.2416312095627 203.809730221204, -205.2347380231892 188.0044800745674, -184.9060425499167 164.909314808483, -143.7327040088751 139.6106765030304, -102.5593654678335 114.3120381975778, -43.90300457862985 88.8754486131721, 19.31799600791651 68.90302135866618, 82.53899659446287 48.93059410416026, 145.1629222101529 36.05298939945993, 193.3975801254026 33.10635020808019, 241.6322380406523 30.15971101670043, 271.5394820862013 37.38461737683939, 276.5325888998278 53.18986752347598, 281.5256957134542 68.99511767011256, 261.1970002401818 92.09028293619703, 220.0236616991401 117.3889212416496, 178.8503231580985 142.6875595471022, 120.1939622688949 168.1241491315079, 56.97296168234852 188.0965763860138)",162.46792087825503
6,6,797,0.8966668917293984,"Ellipse(xy=(38.145478845132516, 122.93382433267683), width=500, height=125, angle=162.43643898043945)",19800.0,2021-06-12 05:30:00,38145.478845132515,122933.82433267683,"LINEARRING (57.00570504915899 182.5202478495565, -6.2043118891986 202.5274096735927, -68.82115228749761 215.4394219483681, -117.0541838530449 218.4125638424334, -165.2872154185923 221.3857057364987, -195.1984247663772 214.1772333833721, -200.2002152223862 198.3747291487827, -205.2020056783953 182.5722249141933, -184.8860032067147 159.4658932736349, -143.7265715402036 134.144635571555, -102.5671398736926 108.8233778694751, -43.92476429725156 83.35456263983336, 19.28525264110604 63.34740081579714, 82.49526957946364 43.34023899176093, 145.1121099777627 30.42822671698561, 193.34514154331 27.45508482292027, 241.5781731088573 24.48194292885495, 271.4893824566423 31.69041528198154, 276.4911729126513 47.49291951657094, 281.4929633686603 63.29542375116034, 261.1769608969797 86.40175539171875, 220.0175292304687 111.7230130937987, 178.8580975639576 137.0442707958786, 120.2157219875166 162.5130860255203, 57.00570504915899 182.5202478495565)",162.43643898043945
7,7,811,0.8889965060043107,"Ellipse(xy=(38.145478845132516, 117.36784979301319), width=500, height=125, angle=162.359474947251)",20100.0,2021-06-12 05:35:00,38145.478845132515,117367.84979301319,"LINEARRING (57.08572900930072 176.9288850737966, -6.097355773391811 197.0209373070483, -68.69679529089905 210.0170495928032, -116.9257895925471 213.0549790483582, -165.1547838941952 216.0929085039131, -195.0756492196882 208.9246216453591, -200.0986622780011 193.128850449686, -205.121675336314 177.3330792540129, -184.8367293600579 154.1994784739101, -143.711348249453 128.8229551652919, -102.5859671388482 103.4464318566737, -43.97785610172821 77.89886674548146, 19.20522868096431 57.80681451222978, 82.38831346365684 37.71476227897813, 144.9877529811641 24.71864999322318, 193.2167472828122 21.68072053766821, 241.4457415844603 18.64279108211325, 271.3666069099532 25.81107794066726, 276.3896199682662 41.60684913634039, 281.4126330265791 57.40262033201352, 261.1276870503229 80.53622111211634, 220.0023059397181 105.9127444207345, 178.8769248291133 131.2892677293527, 120.2688137919932 156.8368328405449, 57.08572900930072 176.9288850737966)",162.359474947251
8,8,831,0.8866972633100322,"Ellipse(xy=(38.145478845132516, 111.80187525335), width=500, height=125, angle=161.95356679988947)",20400.0,2021-06-12 05:40:00,38145.478845132515,111801.87525335001,"LINEARRING (57.50720638519699 171.227236057171, -5.531953229970327 191.7663967170929, -68.03775252134437 205.2056607369886, -116.244014711158 208.5851862084528, -164.4502769009717 211.9647116799171, -194.4211742051711 205.0085753173998, -199.5559643701516 189.2487854136079, -204.6907545351321 173.4889955098161, -184.5702046878482 150.2122691043318, -143.6256323892899 124.5450350107746, -102.6810600907316 98.87780091721737, -44.25540831009928 72.91567510945087, 18.78375130506803 52.37651444952898, 81.82291092023536 31.83735378960708, 144.3287102116094 18.39808976971142, 192.534972401423 15.01856429824718, 240.7412345912367 11.63903882678292, 270.7121318954362 18.59517518930025, 275.8469220604167 34.35496509309208, 280.9817122253971 50.1147549968839, 260.8611623781132 73.39148140236819, 219.9165900795549 99.05871549592541, 178.9720177809966 124.7259495894826, 120.5463660003643 150.6880753972491, 57.50720638519699 171.227236057171)",161.95356679988947
9,9,814,0.8882947027529885,"Ellipse(xy=(43.71145338479616, 111.80187525335047), width=500, height=125, angle=161.61550366242562)",20700.0,2021-06-12 05:45:00,43711.45338479616,111801.87525335047,"LINEARRING (63.42347020209496 171.1119620261291, 0.5065947084554097 192.0227138949282, -61.91882112784936 205.8305457346642, -110.1043040520059 209.4944428526458, -158.2897869761624 213.1583399706273, -188.3012057391185 206.3791613959556, -193.5288937063183 190.6499425225457, -198.7565816735181 174.9207236491358, -178.7737212778443 151.5256855273498, -137.9813055767564 125.6173137530571, -97.18888987566842 99.70894197876447, -38.91743892614218 73.40254034937095, 23.99943656749736 52.49178848057186, 86.91631206113691 31.58103661177275, 149.3417278974417 17.77320477203672, 197.5272108215982 14.10930765405516, 245.7126937457547 10.44541053607361, 275.7241125087108 17.22458911074538, 280.9518004759107 32.95380798415528, 286.1794884431104 48.68302685756516, 266.1966280474367 72.07806497935113, 225.4042123463487 97.9864367536438, 184.6117966452607 123.8948085279365, 126.3403456957345 150.20121015733, 63.42347020209496 171.1119620261291)",161.61550366242562
