,int_list,area,ecc,patch,time,tfmt,cx,cy,geom,angle
10,10,1932,0.4131726819460369,"Ellipse(xy=(-128.8337573447693, -32.91346277789678), width=500, height=125, angle=77.60402563114245)",13500.0,2021-10-27 03:45:00,-128833.75734476931,-32913.462777896784,"LINEARRING (-67.79079713609656 -46.33013184895892, -53.55822821881736 18.42499727310773, -46.33854377858785 81.95030655242967, -47.72179551318081 130.2550839700317, -49.10504724777374 178.5598613876338, -58.9782987800041 207.7002358274744, -75.16708106052076 211.2583780567942, -91.35586334103742 214.816520286114, -112.538434002868 192.501923752245, -134.049577727687 149.2291193321994, -155.5607214525059 105.9563149121539, -175.6441486361629 45.258335415232, -189.8767175534421 -19.49679370683464, -204.1092864707213 -84.25192282890129, -211.3289709109508 -147.7772321082232, -209.9457191763578 -196.0820095258252, -208.5624674417649 -244.3867869434274, -198.6892159095345 -273.527161383268, -182.5004336290179 -277.0853036125878, -166.3116513485012 -280.6434458419076, -145.1290806866706 -258.3288493080386, -123.6179369618517 -215.056044887993, -102.1067932370327 -171.7832404679475, -82.02336605337577 -111.0852609710256, -67.79079713609656 -46.33013184895892)",77.60402563114245
11,11,2208,0.6447590632593843,"Ellipse(xy=(-112.13583372577838, -10.649564619243145), width=500, height=125, angle=79.92594922854008)",13560.0,2021-10-27 03:46:00,-112135.83372577839,-10649.564619243145,"LINEARRING (-50.59942731949625 -21.58211631593679, -39.0020409160026 43.69646665128674, -34.36195610378462 107.4621186544257, -37.7010977044267 155.6711949792859, -41.04023930506878 203.8802713041461, -52.08598119719794 232.596714405012, -68.40562693900381 235.4960610058854, -84.7252726808097 238.3954076067588, -104.9863954833494 215.2409388999797, -124.7267182238935 171.132157860095, -144.4670409644376 127.0233768202104, -162.0748537285669 65.56157004467401, -173.6722401320605 0.2829870774504961, -185.2696265355542 -64.99559588977303, -189.9097113477721 -128.761247892912, -186.5705697471301 -176.9703242177722, -183.231428146488 -225.1794005426324, -172.1856862543588 -253.8958436434983, -155.866040512553 -256.7951902443717, -139.5463947707471 -259.6945368452451, -119.2852719682074 -236.540068138466, -99.54494922766325 -192.4312870985813, -79.80462648711912 -148.3225060586967, -62.1968137229899 -86.86069928316032, -50.59942731949625 -21.58211631593679)",79.92594922854008
12,12,2181,0.6106582134510812,"Ellipse(xy=(-117.70180826544203, -32.91346277789678), width=500, height=125, angle=79.22549647821883)",13620.0,2021-10-27 03:47:00,-117701.80826544203,-32913.462777896784,"LINEARRING (-56.30364966022545 -44.59747407062796, -43.90910559915619 20.53445391495249, -38.48983866483262 84.23861632483388, -41.23937949712453 132.4849108140161, -43.98892032941646 180.7312053031982, -54.68278109812219 209.5805356277022, -70.96576309451731 212.6791716429695, -87.24874509091242 215.7778076582368, -107.7914149584692 192.8727594586503, -128.0694881013562 149.0085980471169, -148.3475612442431 105.1444366355835, -166.7054228095893 43.90247650041485, -179.0999668706586 -21.2294514851656, -191.4945109317279 -86.36137947074604, -196.9137778660514 -150.0655418806274, -194.1642370337595 -198.3118363698097, -191.4146962014676 -246.5581308589918, -180.7208354327619 -275.4074611834957, -164.4378534363667 -278.5060971987631, -148.1548714399716 -281.6047332140304, -127.6122015724148 -258.6996850144439, -107.3341284295279 -214.8355236029105, -87.0560552866409 -170.9713621913771, -68.69819372129473 -109.7294020562084, -56.30364966022545 -44.59747407062796)",79.22549647821883
13,13,2045,0.547966385553953,"Ellipse(xy=(-117.70180826544203, -16.215539158907255), width=500, height=125, angle=80.29753783106486)",13680.0,2021-10-27 03:48:00,-117701.80826544203,-16215.539158907255,"LINEARRING (-56.09579403467637 -26.74877278390107, -44.92200919318599 38.60365102667161, -40.69556766685056 102.3980548131674, -44.34729414477152 150.5844616148349, -47.99902062269251 198.7708684165023, -59.23076781282359 227.4150715537828, -75.56887376546676 230.2085177641553, -91.90697971810994 233.0019639745279, -112.0175104498746 209.7165807481442, -131.4713549936702 165.4807034629454, -150.9251995374658 121.2448261777466, -168.1340376547173 59.67011827665923, -179.3078224962077 -5.682305533913439, -190.4816073376981 -71.03472934448612, -194.7080488640335 -134.8291331309819, -191.0563223861125 -183.0155399326494, -187.4045959081915 -231.2019467343168, -176.1728487180605 -259.8461498715973, -159.8347427654173 -262.6395960819698, -143.4966368127741 -265.4330422923425, -123.3861060810094 -242.1476590659587, -103.9322615372138 -197.9117817807599, -84.47841699341825 -153.6759044955611, -67.26957887616676 -92.10119659447375, -56.09579403467637 -26.74877278390107)",80.29753783106486
14,14,1987,0.5186335994544802,"Ellipse(xy=(-117.70180826544203, -27.347488238233144), width=500, height=125, angle=82.40090188390587)",13740.0,2021-10-27 03:49:00,-117701.80826544203,-27347.488238233145,"LINEARRING (-55.75070689319823 -35.61253746772797, -46.98304018393968 30.10595906160527, -45.10085290406869 94.0125012423045, -50.51867495508745 142.0324149339057, -55.93649700610621 190.0523286255068, -68.21198721512943 218.2650005734274, -84.64161134746273 220.456917250742, -101.071235479796 222.6488339280567, -120.3135874980458 198.6410350468896, -138.1307627196651 153.7209596479386, -155.9479379412844 108.8008842489875, -170.8852429284273 46.63605752059492, -179.6529096376858 -19.08243900873832, -188.4205763469444 -84.80093553807156, -190.3027636268154 -148.7074777187708, -184.8849415757966 -196.727391410372, -179.4671195247778 -244.7473051019732, -167.1916293157546 -272.9599770498937, -150.7620051834213 -275.1518937272083, -134.332381051088 -277.343810404523, -115.0900290328383 -253.3360115233559, -97.27285381121897 -208.4159361244049, -79.45567858959967 -163.4958607254538, -64.51837360245679 -101.3310339970612, -55.75070689319823 -35.61253746772797)",82.40090188390587
15,15,2195,0.6198221009636221,"Ellipse(xy=(-123.26778280510567, -27.34748823823268), width=500, height=125, angle=79.16398740155178)",13800.0,2021-10-27 03:50:00,-123267.78280510567,-27347.48823823268,"LINEARRING (-61.88220278319994 -39.09740591344254, -49.41774441435815 26.02117855498734, -43.93009191014991 89.71948647947664, -46.6278370384484 137.9687048974787, -49.3255821667469 186.2179233154809, -59.98846598715875 215.0787172571798, -76.26811210426622 218.1948318493902, -92.5477582213737 221.3109464416007, -113.115005638417 198.4279647303173, -133.4401568395664 154.5855978305279, -153.7653080407158 110.7432309307385, -172.1889044581696 49.52101390540705, -184.6533628270114 -15.59757056302282, -197.1178211958532 -80.7161550314527, -202.6054737000614 -144.414462955942, -199.9077285717629 -192.6636813739441, -197.2099834434644 -240.9128997919462, -186.5470996230526 -269.7736937336451, -170.2674535059451 -272.8898083258556, -153.9878073888376 -276.005922918066, -133.4205599717943 -253.1229412067826, -113.0954087706449 -209.2805743069932, -92.77025756949556 -165.4382074072038, -74.34666115204175 -104.2159903818724, -61.88220278319994 -39.09740591344254)",79.16398740155178
16,16,1950,0.4405129846627423,"Ellipse(xy=(-123.26778280510567, -38.479437317560894), width=500, height=125, angle=79.52926139520544)",13860.0,2021-10-27 03:51:00,-123267.78280510567,-38479.43731756089,"LINEARRING (-61.8085422790583 -49.83777143667615, -49.75948060215777 15.35895300793743, -44.67802847531385 79.09095130339801, -47.68331674812677 127.3219905740029, -50.6886050209397 175.5530298446077, -61.53526521749124 204.3452593674034, -77.83444632864465 207.3575247866286, -94.13362743979803 210.3697902058537, -114.5545735230575 187.3561533924899, -134.5998082332131 143.3851007312207, -154.6450429433687 99.41404806995155, -172.6779616542525 38.07562124616794, -184.727023331153 -27.12110319844564, -196.7760850080536 -92.31782764305922, -201.8575371348975 -156.0498259385198, -198.8522488620846 -204.2808652091246, -195.8469605892716 -252.5119044797295, -185.0003003927201 -281.3041340025252, -168.7011192815667 -284.3163994217504, -152.4019381704133 -287.3286648409755, -131.9809920871538 -264.3150280276117, -111.9357573769982 -220.3439753663425, -91.89052266684263 -176.3729227050733, -73.85760395595884 -115.0344958812897, -61.8085422790583 -49.83777143667615)",79.52926139520544
17,17,2065,0.5569632887313427,"Ellipse(xy=(-117.70180826544203, -16.215539158907255), width=500, height=125, angle=79.08617136714699)",13920.0,2021-10-27 03:52:00,-117701.80826544203,-16215.539158907255,"LINEARRING (-56.33224295715505 -28.0488165524234, -43.77935556547344 37.05277930921724, -38.20519654618577 100.7435754549532, -40.83740972301464 148.9964133043177, -43.4696228998435 197.2492511536821, -54.09329972596727 226.1245002263202, -70.36869869137743 229.2627220742406, -86.64409765678759 232.400943922161, -107.2424045258482 209.545916631851, -127.6270812989355 165.7311946815512, -148.0117580720227 121.9164727312513, -166.5184861820474 60.71933409624953, -179.071373573729 -4.382261765391107, -191.6242609654106 -69.48385762703175, -197.1984199846983 -133.1746537727677, -194.5662068078694 -181.4274916221322, -191.9339936310406 -229.6803294714967, -181.3103168049168 -258.5555785441347, -165.0349178395066 -261.6938003920552, -148.7595188740964 -264.8320222399755, -128.1612120050358 -241.9769949496656, -107.7765352319486 -198.1622729993657, -87.39185845886135 -154.3475510490658, -68.88513034883667 -93.15041241406405, -56.33224295715505 -28.0488165524234)",79.08617136714699
18,18,2028,0.5037545346157786,"Ellipse(xy=(-117.70180826544203, -27.347488238233144), width=500, height=125, angle=79.2879037999763)",13980.0,2021-10-27 03:53:00,-117701.80826544203,-27347.488238233145,"LINEARRING (-56.29095970386044 -38.96461692592928, -43.96736553955664 26.18077272271863, -38.61748922345112 89.89080007989665, -41.41957891718066 138.1340711140381, -44.2216686109102 186.3773421481795, -54.94694610249547 215.2150074670172, -71.23329351465745 218.2959060080932, -87.51964092681943 221.3768045491692, -108.0373501317397 198.4493945930678, -128.2676338298096 154.5631720600115, -148.4979175278795 110.6769495269552, -166.7890626627198 49.41503009811092, -179.1126568270236 -15.730359550537, -191.4362509913274 -80.87574919918492, -196.7861273074329 -144.5857765563629, -193.9840376137034 -192.8290475905044, -191.1819479199739 -241.0723186246458, -180.4566704283886 -269.9099839434836, -164.1703230162266 -272.9908824845595, -147.8839756040646 -276.0717810256355, -127.3662663991443 -253.1443710695341, -107.1359827010744 -209.2581485364778, -86.90569900300454 -165.3719260034215, -68.61455386816424 -104.1100065745772, -56.29095970386044 -38.96461692592928)",79.2879037999763
19,19,2225,0.6399426764761856,"Ellipse(xy=(-112.13583372577838, -21.781513698569498), width=500, height=125, angle=80.52281288566469)",14040.0,2021-10-27 03:54:00,-112135.83372577839,-21781.5136985695,"LINEARRING (-50.48888130664363 -32.07244453270381, -39.57213427025161 33.32340701572435, -35.59655105566171 97.13393514826583, -39.43770772057134 145.3056117041109, -43.278864385481 193.477288259956, -54.62314750213412 222.0771092188715, -70.97211038924115 224.8062959779695, -87.3210732763482 227.5354827370675, -107.3398955299091 204.1712092860667, -126.6196639106806 159.8591856591871, -145.8994322914521 115.5471620323075, -162.8660391085211 53.90526868399296, -173.7827861449131 -11.49058286443519, -184.6995331813052 -76.88643441286334, -188.6751163958951 -140.6969625454048, -184.8339597309854 -188.8686391012499, -180.9928030660758 -237.040315657095, -169.6485199494226 -265.6401366160105, -153.2995570623156 -268.3693233751085, -136.9505941752086 -271.0985101342065, -116.9317719216477 -247.7342366832057, -97.65200354087617 -203.4222130563261, -78.37223516010464 -159.1101894294465, -61.40562834303564 -97.46829608113195, -50.48888130664363 -32.07244453270381)",80.52281288566469
