,int_list,area,ecc,patch,time,tfmt,cx,cy,geom,angle
0,0,1237,0.7301515779483106,"Ellipse(xy=(-145.5316809637584, -71.87528455554089), width=500, height=125, angle=70.91849503361388)",12900.0,2021-10-27 03:35:00,-145531.68096375838,-71875.28455554089,"LINEARRING (-86.46577542559591 -92.30733787763425, -64.79119990405806 -29.64949286552282, -50.22499734529967 32.60333442342221, -45.97520479033025 80.74068135867675, -41.72541223536081 128.8780282939313, -48.13900642235706 158.9696937167246, -63.80346767538491 164.3883375971091, -79.46792892841276 169.8069814774935, -103.1043233699785 150.1101955438563, -129.5070094762477 109.6359682739114, -155.909695582517 69.16174100396658, -182.923010980383 11.21461377866392, -204.5975865019209 -51.44323123344752, -226.2721620234587 -114.101076245559, -240.8383645822171 -176.353903534504, -245.0881571371865 -224.4912504697585, -249.337949692156 -272.6285974050131, -242.9243555051597 -302.7202628278064, -227.2598942521319 -308.1389067081908, -211.595432999104 -313.5575505885753, -187.9590385575383 -293.8607646549381, -161.556352451269 -253.3865373849932, -135.1536663449997 -212.9123101150483, -108.1403509471338 -154.9651828897457, -86.46577542559591 -92.30733787763425)",70.91849503361388
1,1,1118,0.6581776582176156,"Ellipse(xy=(-128.8337573447693, -55.17736093655089), width=500, height=125, angle=73.77684830819187)",13200.0,2021-10-27 03:40:00,-128833.75734476931,-55177.36093655089,"LINEARRING (-68.82245269219699 -72.63855545170799, -50.29940103170635 -8.977819336081573, -38.85568156667385 53.92392982286976, -37.01164067994389 102.213311884907, -35.16759979321392 150.5026939469442, -43.07379525523433 180.2370947586157, -58.98897928414094 184.8678576737384, -74.90416331304755 189.4986205888611, -97.52893162724192 168.6476643268132, -121.8804416153153 126.9071699834768, -146.2319516033887 85.16667564014045, -170.322010336851 25.94456969423262, -188.8450619973416 -37.71616642139379, -207.3681136578323 -101.3769025370202, -218.8118331228648 -164.2786516959715, -220.6558740095947 -212.5680337580087, -222.4999148963247 -260.857415820046, -214.5937194343043 -290.5918166317175, -198.6785354053977 -295.2225795468402, -182.7633513764911 -299.8533424619628, -160.1385830622967 -279.002386199915, -135.7870730742233 -237.2618918565786, -111.43556308615 -195.5213975132422, -87.34550435268763 -136.2992915673344, -68.82245269219699 -72.63855545170799)",73.77684830819187
2,2,1171,0.6874665375571035,"Ellipse(xy=(-123.26778280510567, -49.61138639688725), width=500, height=125, angle=74.80283806752114)",13500.0,2021-10-27 03:45:00,-123267.78280510567,-49611.38639688725,"LINEARRING (-62.95344027583891 -65.99522249415956, -45.57326378428485 -2.013020041266024, -35.2576941229062 61.08355502435258, -34.27861577493219 109.3982144178934, -33.29953742695818 157.7128738114342, -41.73688780279304 187.3009395972913, -57.73243841601642 191.6459837201798, -73.72798902923981 195.9910278430683, -95.97577402261781 174.7382966961961, -119.5759769854376 132.5684576303538, -143.1761799482574 90.39861856451142, -166.2019488428184 30.75465215327861, -183.5821253343724 -33.22755029961493, -200.9623018259265 -97.20975275250848, -211.2778714873051 -160.3063278181271, -212.2569498352792 -208.6209872116679, -213.2360281832532 -256.9356466052087, -204.7986778074183 -286.5237123910658, -188.8031271941949 -290.8687565139543, -172.8075765809715 -295.2138006368428, -150.5597915875935 -273.9610694899706, -126.9595886247737 -231.7912304241283, -103.3593856619539 -189.6213913582859, -80.33361676739298 -129.9774249470531, -62.95344027583891 -65.99522249415956)",74.80283806752114
3,3,1289,0.7364768975100209,"Ellipse(xy=(-128.8337573447693, -55.17736093655089), width=500, height=125, angle=75.07058160267164)",13800.0,2021-10-27 03:50:00,-128833.75734476931,-55177.36093655089,"LINEARRING (-68.44351186641023 -71.27916987416818, -51.36251328295499 -7.216448631680933, -41.34190586770646 55.92764206158555, -40.588612092864 104.2463491553615, -39.83531831802154 152.5650562491375, -48.41084128367837 182.1133713310216, -64.42652159430017 186.3836209768854, -80.44220190492197 190.6538706227492, -102.5904302026443 169.2974078635567, -125.9933162833999 127.0177457336802, -149.3962023641554 84.73808360380374, -172.1430042396731 24.98716924355363, -189.2240028231284 -39.07555199893361, -206.3050014065836 -103.1382732414208, -216.3256088218322 -166.2823639346873, -217.0789025966746 -214.6010710284633, -217.8321963715171 -262.9197781222393, -209.2566734058603 -292.4680932041234, -193.2409930952385 -296.7383428499872, -177.2253127846166 -301.008592495851, -155.0770844868943 -279.6521297366585, -131.6741984061387 -237.372467606782, -108.2713123253832 -195.0928054769055, -85.52451044986549 -135.3418911166554, -68.44351186641023 -71.27916987416818)",75.07058160267164
4,4,1387,0.7735584136156152,"Ellipse(xy=(-123.26778280510567, -49.61138639688725), width=500, height=125, angle=74.9476288967258)",14100.0,2021-10-27 03:55:00,-123267.78280510567,-49611.38639688725,"LINEARRING (-62.91222969661928 -65.8427513724116, -45.69379646165736 -1.81683222607068, -35.53770945323137 61.30560957656619, -34.68072895140179 109.6225889021078, -33.82374844957221 157.9395682276495, -42.33584311642305 187.5062177283178, -58.34232290300828 191.8108260370583, -74.34880268959351 196.1154343457988, -96.54280942008364 174.8065492609389, -120.0363707219529 132.577205386322, -143.5299320238221 90.34786151170508, -166.4049026786302 30.64589772497801, -183.6233359135921 -33.3800214213629, -200.841769148554 -97.40594056770382, -210.99785615698 -160.5283823703407, -211.8548366588095 -208.8453616958823, -212.7118171606391 -257.162341021424, -204.1997224937883 -286.7289905220923, -188.1932427072031 -291.0335988308328, -172.1867629206178 -295.3382071395733, -149.9927561901277 -274.0293220547134, -126.4991948882585 -231.7999781800965, -103.0056335863893 -189.5706343054796, -80.1306629315812 -129.8686705187525, -62.91222969661928 -65.8427513724116)",74.9476288967258
5,5,1349,0.7568913709197344,"Ellipse(xy=(-112.13583372577838, -38.479437317560894), width=500, height=125, angle=77.48076814539672)",14400.0,2021-10-27 04:00:00,-112135.83372577839,-38479.43731756089,"LINEARRING (-51.12187733959936 -52.02739384633096, -36.75003705921911 12.69696766118694, -29.39371067513841 76.20659862044286, -30.67304368723543 124.514239980475, -31.95237669933246 172.8218813405072, -41.76291723381864 201.9834281570601, -57.94400761069812 205.5763882271552, -74.12509798757759 209.1693482972503, -95.35562384973963 186.9003723457415, -116.9598083026103 143.6739438459028, -138.5639927554811 100.447515346064, -158.7779498315772 39.79288071872708, -173.1497901119574 -24.93148078879083, -187.5216303923377 -89.65584229630872, -194.8779567764184 -153.1654732555646, -193.5986237643213 -201.4731146155968, -192.3192907522243 -249.780755975629, -182.5087502177381 -278.9423027921819, -166.3276598408586 -282.535262862277, -150.1465694639792 -286.1282229323721, -128.9160436018171 -263.8592469808633, -107.3118591489464 -220.6328184810245, -85.70767469607571 -177.4063899811858, -65.49371761997961 -116.7517553538489, -51.12187733959936 -52.02739384633096)",77.48076814539672
6,6,1374,0.7704399214335312,"Ellipse(xy=(-106.5698591861166, -32.91346277789678), width=500, height=125, angle=79.49326017293262)",14700.0,2021-10-27 04:05:00,-106569.8591861166,-32913.462777896784,"LINEARRING (-45.11776768609972 -44.31041194307047, -33.02774268951383 20.87872872608205, -27.90624621330814 84.60752156177142, -30.88122841022776 132.8404396536031, -33.85621060714739 181.0733577454348, -44.68477735813373 209.8723969730243, -60.98206252542186 212.8949032221707, -77.27934769270999 215.9174094713172, -97.71475012922292 192.9166084945998, -117.787609645744 148.9581597326684, -137.8604691622652 104.9997109707372, -155.9319256895476 43.67262705642942, -168.0219506861335 -21.5165136127231, -180.1119756827194 -86.70565428187561, -185.2334721589251 -150.434447117565, -182.2584899620055 -198.6673652093967, -179.2835077650858 -246.9002833012283, -168.4549410140995 -275.6993225288178, -152.1576558468113 -278.7218287779643, -135.8603706795232 -281.7443350271108, -115.4249682430103 -258.7435340503933, -95.35210872648916 -214.785085288462, -75.27924920996804 -170.8266365265307, -57.20779268268561 -109.499552612223, -45.11776768609972 -44.31041194307047)",79.49326017293262
7,7,1431,0.7656055552084984,"Ellipse(xy=(-106.5698591861166, -38.479437317561356), width=500, height=125, angle=80.47226833253598)",15000.0,2021-10-27 04:10:00,-106569.8591861166,-38479.43731756136,"LINEARRING (-44.9320090921435 -48.82474716274725, -33.95757612652822 16.56144852628058, -29.92570280461896 80.36844469414666, -33.72436242688075 128.5434910542648, -37.52302204914254 176.7185374143829, -48.84207088311607 205.3283548169272, -65.18861980537304 208.0719630583311, -81.53516872762998 210.8155712997349, -101.574594423708 187.4689669195648, -120.8934459852973 143.1739685442786, -140.2122975468866 98.87897016899234, -157.2332763144744 37.25206821665237, -168.2077092800897 -28.13412747237546, -179.182142245705 -93.5203231614033, -183.2140155676142 -157.3273193292694, -179.4153559453525 -205.5023656893875, -175.6166963230907 -253.6774120495056, -164.2976474891171 -282.2872294520499, -147.9510985668602 -285.0308376934537, -131.6045496446032 -287.7744459348576, -111.5651239485252 -264.4278415546875, -92.24627238693594 -220.1328431794013, -72.92742082534663 -175.837844804115, -55.90644205775878 -114.2109428517751, -44.9320090921435 -48.82474716274725)",80.47226833253598
8,8,1372,0.7622313104756097,"Ellipse(xy=(-95.43791010678932, -32.91346277789725), width=500, height=125, angle=81.03333889735953)",15300.0,2021-10-27 04:15:00,-95437.91010678932,-32913.46277789725,"LINEARRING (-33.70171020304649 -42.65469583357887, -23.36808938628954 22.83583055319033, -19.96123123284943 86.67924900781523, -24.23145670700038 134.8147876578111, -28.50168218115132 182.9503263078069, -40.10034628737055 211.4479316328848, -56.47297788406285 214.0313368370741, -72.84560948075514 216.6147420412633, -92.65545571862049 193.0730235325193, -111.5396279002501 148.5909715593931, -130.4238000818796 104.1089195862669, -146.8404891937752 42.31829666455357, -157.1741100105322 -23.17222972221563, -167.5077308272891 -88.66275610898484, -170.9145889807292 -152.5061745636097, -166.6443635065783 -200.6417132136056, -162.3741380324273 -248.7772518636014, -150.7754739262081 -277.2748571886793, -134.4028423295158 -279.8582623928686, -118.0302107328235 -282.4416675970578, -98.22036449495815 -258.8999490883139, -79.33619231332858 -214.4178971151876, -60.45202013169902 -169.9358451420614, -44.03533101980344 -108.1452222203481, -33.70171020304649 -42.65469583357887)",81.03333889735953
9,9,1395,0.7681962242868233,"Ellipse(xy=(-89.87193556712567, -32.91346277789678), width=500, height=125, angle=82.20784888279562)",15600.0,2021-10-27 04:20:00,-89871.93556712568,-32913.462777896784,"LINEARRING (-27.94903414868404 -41.38720338768407, -18.95998503543812 24.30137828097642, -16.86248147289989 88.20121584927652, -22.11847427461383 136.2391117898115, -27.37446707632776 184.2770077303464, -39.55482771081141 212.5308806175583, -55.97697312797654 214.7781428958698, -72.39911854514166 217.0254051741812, -91.72225331156201 193.0825778325417, -109.6906812820662 148.2227906842043, -127.6591092525703 103.3630035358669, -142.8057878723214 41.24885950055099, -151.7948369855673 -24.4397221681095, -160.7838860988132 -90.12830383676999, -162.8813896613515 -154.0281414050701, -157.6253968596375 -202.066037345605, -152.3694040579236 -250.10393328614, -140.18904342344 -278.3578061733519, -123.7668980062748 -280.6050684516633, -107.3447525891097 -282.8523307299748, -88.02161782268934 -258.9095033883353, -70.05318985218518 -214.0497162399978, -52.08476188168103 -169.1899290916605, -36.93808326192995 -107.0757850563446, -27.94903414868404 -41.38720338768407)",82.20784888279562
